trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2278,False,"{'e': 0.01052501999134809, 'a': 0.002}",20,16,8.406087976978935,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2279,False,"{'e': 0.010503990987379034, 'a': 0.002}",20,10,17.89842315148529,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2280,False,"{'e': 0.010483003999387931, 'a': 0.002}",20,0,32.310838858214595,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2281,False,"{'e': 0.010462058943426795, 'a': 0.002}",25,9,30.256407336100338,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2282,False,"{'e': 0.01044115573571539, 'a': 0.002}",20,3,25.325990325824655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2283,False,"{'e': 0.01042029429264085, 'a': 0.002}",20,16,8.308368008485871,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2284,False,"{'e': 0.010399474530757374, 'a': 0.002}",25,17,17.417353344300295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2285,False,"{'e': 0.010378696366785877, 'a': 0.002}",25,11,24.68644703045793,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2286,False,"{'e': 0.010357959717613696, 'a': 0.002}",20,13,11.555719450708931,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2287,False,"{'e': 0.010337264500294195, 'a': 0.002}",25,17,17.74747441441003,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2288,False,"{'e': 0.01031661063204648, 'a': 0.002}",25,0,44.877292758810334,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2289,False,"{'e': 0.010295998030255039, 'a': 0.002}",30,16,26.314399941682627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2290,False,"{'e': 0.010275426612469454, 'a': 0.002}",25,19,9.508299651455793,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2291,False,"{'e': 0.010254896296404022, 'a': 0.002}",30,17,22.933099481554414,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2292,False,"{'e': 0.010234406999937449, 'a': 0.002}",25,17,16.561569224788407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2293,False,"{'e': 0.01021395864111251, 'a': 0.002}",20,16,5.4648988737531825,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2294,False,"{'e': 0.010193551138135765, 'a': 0.002}",25,18,16.134840955940476,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2295,False,"{'e': 0.010173184409377162, 'a': 0.002}",25,8,27.80770365960557,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2296,False,"{'e': 0.010152858373369763, 'a': 0.002}",30,21,15.16048337506864,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2297,False,"{'e': 0.010132572948809385, 'a': 0.002}",20,6,26.066746338591603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2298,False,"{'e': 0.010112328054554321, 'a': 0.002}",30,8,36.93976034000009,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2299,False,"{'e': 0.01009212360962496, 'a': 0.002}",25,18,16.723854101112238,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2300,False,"{'e': 0.01007195953320349, 'a': 0.002}",25,15,16.78229181035079,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2301,False,"{'e': 0.010051835744633576, 'a': 0.002}",25,12,23.41236284540782,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2302,False,"{'e': 0.010031752163420051, 'a': 0.002}",35,21,28.199277326550295,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2303,False,"{'e': 0.010011708709228555, 'a': 0.002}",25,11,27.3987507810572,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2304,False,"{'e': 0.009991705301885246, 'a': 0.002}",25,15,22.3973087084667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",20,7,25.044415795349174,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",25,20,10.079166942214894,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",30,21,16.84544211405241,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",20,15,9.499375933287192,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",35,21,28.503084915741848,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",30,15,31.2734658143451,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,14,21.827005964179566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",20,11,18.51357525416175,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,11,16.967675811846412,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,8,24.49080061265731,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'e': 0, 'a': 0}",25,18,13.331323626888397,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'e': 0, 'a': 0}",25,11,23.345713450055978,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'e': 0, 'a': 0}",30,23,12.879369817026255,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'e': 0, 'a': 0}",20,16,8.811231483311753,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'e': 0, 'a': 0}",20,10,17.966794666565598,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'e': 0, 'a': 0}",25,15,15.770699966417105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'e': 0, 'a': 0}",20,9,18.160685902356676,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'e': 0, 'a': 0}",25,20,8.692328645180408,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'e': 0, 'a': 0}",25,18,13.181325254485841,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'e': 0, 'a': 0}",20,10,23.49681971708813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'e': 0, 'a': 0}",25,7,34.02034939769082,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'e': 0, 'a': 0}",25,5,38.32826617359887,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'e': 0, 'a': 0}",20,15,8.549767036014703,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'e': 0, 'a': 0}",25,13,20.896487803702435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'e': 0, 'a': 0}",35,21,25.91431787648849,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'e': 0, 'a': 0}",20,9,25.18074992841057,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'e': 0, 'a': 0}",20,15,9.188882360260108,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'e': 0, 'a': 0}",25,13,21.846135488390228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'e': 0, 'a': 0}",30,18,21.809335625019635,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'e': 0, 'a': 0}",25,11,27.317153233869462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'e': 0, 'a': 0}",20,14,14.588381018567237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'e': 0, 'a': 0}",20,15,8.307293511801042,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'e': 0, 'a': 0}",25,8,30.002496844021856,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'e': 0, 'a': 0}",20,10,17.54289886438164,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'e': 0, 'a': 0}",20,13,15.794375903515984,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
